Area;Player Direction;Pass Direction;Offensive Action;Hop/1-2;Make/Miss;Off Dribble Hand;Defender Distance;PTS;Year
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2024-2025
Left Corner;Away From Hoop;Right;Spot Up;1-2 Left/Right;Make ;N/A;Close;3;2024-2025
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2024-2025
Top;Left;Left;Pin Down;1-2 Right/Left;Miss;N/A;Open;0;2024-2025
Right Corner;Stationary;N/A Off Dribble;Spot Up;1-2 Left/Right;Make ;Left;Open;3;2024-2025
Right Corner;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Make ;N/A;Open;3;2024-2025
Left Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2024-2025
Right Wing;Left;Left;Lift;1-2 Left/Right;Miss;N/A;Close;0;2024-2025
Right Corner;Right;From Hoop;Post Kick Out;Hop  ;Make ;N/A;Open;3;2024-2025
Left Wing;Left;N/A Off Dribble;Iso;1-2 Left/Right;Make ;Right to LeftPickup;Open;3;2024-2025
Left Wing;Right;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2024-2025
Left Wing;Right;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2024-2025
Top;Left;N/A Off Dribble;Iso;1-2 Right/Left;Make ;Left;Open;3;2024-2025
Top;Right;Right;Pin Down;1-2 Left/Right;Miss;N/A;Open;0;2024-2025
Right Wing;Away From Hoop;Left;Pin Down;1-2 Right/Left;Make ;N/A;Open;3;2024-2025
Right Wing;Right;From Hoop;Drive Kick;Hop  ;Miss;N/A;Tight;0;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Right/Left;Make ;N/A;Open;3;2024-2025
Right Corner;Right;Left;Drive Kick;1-2 Left/Right;Make ;N/A;Tight;3;2024-2025
Left Wing;Left;From Hoop;Drive Kick;1-2 Left/Right;Make ;N/A;Open;3;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;N/A;Wide Open;3;2024-2025
Top;Right;Right;Spot Up;1-2 Left/Right;Make ;N/A;Open;3;2024-2025
Left Corner;Left;Left;Spot Up;1-2 Right/Left;Make ;N/A;Open;3;2024-2025
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;N/A;Open;0;2024-2025
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Right/Left;Miss;N/A;Open;0;2024-2025
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;Hop  ;Make ;N/A;Wide Open;3;2024-2025
Left Corner;Left;Right;Drive Kick;1-2 Left/Right;Make ;N/A;Close;3;2024-2025
Left Corner;Left;From Hoop;DHO;Hop  ;Miss;N/A;Open;0;2024-2025
Top;Left;N/A Off Dribble;PnR;1-2 Right/Left;Make ;Left;Open;3;2024-2025
Top;Left;Left;Pin Down;1-2 Right/Left;Miss;Left;Close;0;2024-2025
Top;Left;Right;Flare;1-2 Right/Left;Miss;N/A;Open;0;2024-2025
